OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
"5192","060375320012","5320012","532001",0.408800000000000,BG 2,"48816","48816",Montebello,Montebello,City of Montebello,11397695.522460937500000,14721.386263556456470,,,"60375320012","60375320012",1438.251,"Block Group 2, Census Tract 5320.01, Los Angeles County, California","1422","416","1006",,"5192","5320012","532001",0.408800000000000,BG 2,"48816","48816",Montebello,Montebello,City of Montebello,11397695.522460937500000,14721.386263556456470,,,"60375320012","60375320012","Block Group 2, Census Tract 5320.01, Los Angeles County, California","1422","416","1006",,W Whittier Blvd,1.011428221000173,22.000000000000000,1385.064
"5713","060375323033","5323033","532303",2.020600000000000,BG 3,"14974","14974",Commerce,Commerce,City of Commerce,56331460.280273437500000,39531.317573139596789,,,"60375323033","60375323033",544.275,"Block Group 3, Census Tract 5323.03, Los Angeles County, California","826","275","551",,"5713","5323033","532303",2.020600000000000,BG 3,"14974","14974",Commerce,Commerce,City of Commerce,56331460.280273437500000,39531.317573139596789,,,"60375323033","60375323033","Block Group 3, Census Tract 5323.03, Los Angeles County, California","826","275","551",,I- 5,0.658928001489462,51.000000000000000,792.277
"2372","060375302021","5302021","530202",0.124300000000000,BG 1,"48816","48816",Montebello,Montebello,City of Montebello,3464689.995117187500000,9229.658333702584059,,,"60375302021","60375302021",457.206,"Block Group 1, Census Tract 5302.02, Los Angeles County, California","1091","285","806",,"2372","5302021","530202",0.124300000000000,BG 1,"48816","48816",Montebello,Montebello,City of Montebello,3464689.995117187500000,9229.658333702584059,,,"60375302021","60375302021","Block Group 1, Census Tract 5302.02, Los Angeles County, California","1091","285","806",,Pomona Fwy,0.419070755962104,10.000000000000000,1051.550
"739","060375304002","5304002","530400",0.462900000000000,BG 2,"48914","48914",Monterey Park,Monterey Park,City of Monterey Park,12904703.247070312500000,18728.655219164498703,,,"60375304002","60375304002",463.360,"Block Group 2, Census Tract 5304, Los Angeles County, California","1757","450","1307",,"739","5304002","530400",0.462900000000000,BG 2,"48914","48914",Monterey Park,Monterey Park,City of Monterey Park,12904703.247070312500000,18728.655219164498703,,,"60375304002","60375304002","Block Group 2, Census Tract 5304, Los Angeles County, California","1757","450","1307",,State Rte 60,0.263722139290830,22.000000000000000,1686.163
"128","060372017002","2017002","201700",0.182800000000000,BG 2,"44000","44000",Los Angeles,Los Angeles,LA City - El Sereno,5095897.374023437500000,14849.167087934565643,,,"60372017002","60372017002",1153.902,"Block Group 2, Census Tract 2017, Los Angeles County, California","1516","507","1009",,"128","2017002","201700",0.182800000000000,BG 2,"44000","44000",Los Angeles,Los Angeles,LA City - El Sereno,5095897.374023437500000,14849.167087934565643,,,"60372017002","60372017002","Block Group 2, Census Tract 2017, Los Angeles County, California","1516","507","1009",,I- 10,0.761148993876144,19.000000000000000,1532.187
"589","060375305003","5305003","530500",0.083600000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2331838.824218750000000,6453.004937175517625,,,"60375305003","60375305003",140.767,"Block Group 3, Census Tract 5305, Los Angeles County, California","925","273","652",,"589","5305003","530500",0.083600000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2331838.824218750000000,6453.004937175517625,,,"60375305003","60375305003","Block Group 3, Census Tract 5305, Los Angeles County, California","925","273","652",,State Rte 60,0.152180529313211,16.000000000000000,943.532
"1032","060375302023","5302023","530202",0.197300000000000,BG 3,"48816","48816",Montebello,Montebello,City of Montebello,5500100.759765625000000,14318.252127279287379,,,"60375302023","60375302023",1417.098,"Block Group 3, Census Tract 5302.02, Los Angeles County, California","1116","323","793",,"1032","5302023","530202",0.197300000000000,BG 3,"48816","48816",Montebello,Montebello,City of Montebello,5500100.759765625000000,14318.252127279287379,,,"60375302023","60375302023","Block Group 3, Census Tract 5302.02, Los Angeles County, California","1116","323","793",,State Rte 60,1.269801269269673,28.000000000000000,1161.289
"1199","060372017001","2017001","201700",0.380800000000000,BG 1,"44000","44000",Los Angeles,Los Angeles,LA City - El Sereno,10616013.954101562500000,16413.766253460420558,,,"60372017001","60372017001",408.044,"Block Group 1, Census Tract 2017, Los Angeles County, California","811","220","591",,"1199","2017001","201700",0.380800000000000,BG 1,"44000","44000",Los Angeles,Los Angeles,LA City - El Sereno,10616013.954101562500000,16413.766253460420558,,,"60372017001","60372017001","Block Group 1, Census Tract 2017, Los Angeles County, California","811","220","591",,I- 10,0.503137047972022,26.000000000000000,817.335
"2250","060375313013","5313013","531301",0.050000000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1393812.468750000000000,4729.875613391965999,,,"60375313013","60375313013",297.930,"Block Group 3, Census Tract 5313.01, Los Angeles County, California","1363","532","831",,"2250","5313013","531301",0.050000000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1393812.468750000000000,4729.875613391965999,,,"60375313013","60375313013","Block Group 3, Census Tract 5313.01, Los Angeles County, California","1363","532","831",,I- 5,0.218583931878802,6.000000000000000,1325.611
"2251","060375313014","5313014","531301",0.045700000000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1273966.646484375000000,4531.613697727067120,,,"60375313014","60375313014",255.191,"Block Group 4, Census Tract 5313.01, Los Angeles County, California","1168","449","719",,"2251","5313014","531301",0.045700000000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1273966.646484375000000,4531.613697727067120,,,"60375313014","60375313014","Block Group 4, Census Tract 5313.01, Los Angeles County, California","1168","449","719",,I- 5,0.218485518059613,12.000000000000000,1185.941
